datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2018 5:00:00 AM,1/1/2018 12:00:00 AM,RFC,WEST,ATSI,OE,7261.097,True
1/1/2018 6:00:00 AM,1/1/2018 1:00:00 AM,RFC,WEST,ATSI,OE,7136.208,True
1/1/2018 7:00:00 AM,1/1/2018 2:00:00 AM,RFC,WEST,ATSI,OE,7076.449,True
1/1/2018 8:00:00 AM,1/1/2018 3:00:00 AM,RFC,WEST,ATSI,OE,7003.278,True
1/1/2018 9:00:00 AM,1/1/2018 4:00:00 AM,RFC,WEST,ATSI,OE,7026.481,True
1/1/2018 10:00:00 AM,1/1/2018 5:00:00 AM,RFC,WEST,ATSI,OE,7113.054,True
1/1/2018 11:00:00 AM,1/1/2018 6:00:00 AM,RFC,WEST,ATSI,OE,7204.083,True
1/1/2018 12:00:00 PM,1/1/2018 7:00:00 AM,RFC,WEST,ATSI,OE,7384.581,True
1/1/2018 1:00:00 PM,1/1/2018 8:00:00 AM,RFC,WEST,ATSI,OE,7390.111,True
1/1/2018 2:00:00 PM,1/1/2018 9:00:00 AM,RFC,WEST,ATSI,OE,7587.153,True
1/1/2018 3:00:00 PM,1/1/2018 10:00:00 AM,RFC,WEST,ATSI,OE,7735.974,True
1/1/2018 4:00:00 PM,1/1/2018 11:00:00 AM,RFC,WEST,ATSI,OE,7828.772,True
1/1/2018 5:00:00 PM,1/1/2018 12:00:00 PM,RFC,WEST,ATSI,OE,7908.140,True
1/1/2018 6:00:00 PM,1/1/2018 1:00:00 PM,RFC,WEST,ATSI,OE,7897.480,True
1/1/2018 7:00:00 PM,1/1/2018 2:00:00 PM,RFC,WEST,ATSI,OE,7840.571,True
1/1/2018 8:00:00 PM,1/1/2018 3:00:00 PM,RFC,WEST,ATSI,OE,7860.197,True
1/1/2018 9:00:00 PM,1/1/2018 4:00:00 PM,RFC,WEST,ATSI,OE,8070.801,True
1/1/2018 10:00:00 PM,1/1/2018 5:00:00 PM,RFC,WEST,ATSI,OE,8519.027,True
1/1/2018 11:00:00 PM,1/1/2018 6:00:00 PM,RFC,WEST,ATSI,OE,8680.316,True
1/2/2018 12:00:00 AM,1/1/2018 7:00:00 PM,RFC,WEST,ATSI,OE,8627.699,True
1/2/2018 1:00:00 AM,1/1/2018 8:00:00 PM,RFC,WEST,ATSI,OE,8507.547,True
1/2/2018 2:00:00 AM,1/1/2018 9:00:00 PM,RFC,WEST,ATSI,OE,8318.317,True
1/2/2018 3:00:00 AM,1/1/2018 10:00:00 PM,RFC,WEST,ATSI,OE,7982.898,True
1/2/2018 4:00:00 AM,1/1/2018 11:00:00 PM,RFC,WEST,ATSI,OE,7702.955,True
1/2/2018 5:00:00 AM,1/2/2018 12:00:00 AM,RFC,WEST,ATSI,OE,7475.442,True
1/2/2018 6:00:00 AM,1/2/2018 1:00:00 AM,RFC,WEST,ATSI,OE,7377.296,True
1/2/2018 7:00:00 AM,1/2/2018 2:00:00 AM,RFC,WEST,ATSI,OE,7332.528,True
1/2/2018 8:00:00 AM,1/2/2018 3:00:00 AM,RFC,WEST,ATSI,OE,7336.431,True
1/2/2018 9:00:00 AM,1/2/2018 4:00:00 AM,RFC,WEST,ATSI,OE,7463.292,True
1/2/2018 10:00:00 AM,1/2/2018 5:00:00 AM,RFC,WEST,ATSI,OE,7810.243,True
1/2/2018 11:00:00 AM,1/2/2018 6:00:00 AM,RFC,WEST,ATSI,OE,8295.443,True
1/2/2018 12:00:00 PM,1/2/2018 7:00:00 AM,RFC,WEST,ATSI,OE,8750.816,True
1/2/2018 1:00:00 PM,1/2/2018 8:00:00 AM,RFC,WEST,ATSI,OE,8870.054,True
1/2/2018 2:00:00 PM,1/2/2018 9:00:00 AM,RFC,WEST,ATSI,OE,8932.996,True
1/2/2018 3:00:00 PM,1/2/2018 10:00:00 AM,RFC,WEST,ATSI,OE,9079.579,True
1/2/2018 4:00:00 PM,1/2/2018 11:00:00 AM,RFC,WEST,ATSI,OE,9001.328,True
1/2/2018 5:00:00 PM,1/2/2018 12:00:00 PM,RFC,WEST,ATSI,OE,8871.003,True
