datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2021 5:00:00 AM,1/1/2021 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1942.835,True
1/1/2021 6:00:00 AM,1/1/2021 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1910.698,True
1/1/2021 7:00:00 AM,1/1/2021 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1901.483,True
1/1/2021 8:00:00 AM,1/1/2021 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1921.460,True
1/1/2021 9:00:00 AM,1/1/2021 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1957.049,True
1/1/2021 10:00:00 AM,1/1/2021 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,2029.437,True
1/1/2021 11:00:00 AM,1/1/2021 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,2113.769,True
1/1/2021 12:00:00 PM,1/1/2021 7:00:00 AM,RFC,MIDATL,DPL,DPLCO,2170.114,True
1/1/2021 1:00:00 PM,1/1/2021 8:00:00 AM,RFC,MIDATL,DPL,DPLCO,2209.279,True
1/1/2021 2:00:00 PM,1/1/2021 9:00:00 AM,RFC,MIDATL,DPL,DPLCO,2257.389,True
1/1/2021 3:00:00 PM,1/1/2021 10:00:00 AM,RFC,MIDATL,DPL,DPLCO,2304.647,True
1/1/2021 4:00:00 PM,1/1/2021 11:00:00 AM,RFC,MIDATL,DPL,DPLCO,2328.851,True
1/1/2021 5:00:00 PM,1/1/2021 12:00:00 PM,RFC,MIDATL,DPL,DPLCO,2345.659,True
1/1/2021 6:00:00 PM,1/1/2021 1:00:00 PM,RFC,MIDATL,DPL,DPLCO,2306.070,True
1/1/2021 7:00:00 PM,1/1/2021 2:00:00 PM,RFC,MIDATL,DPL,DPLCO,2285.603,True
1/1/2021 8:00:00 PM,1/1/2021 3:00:00 PM,RFC,MIDATL,DPL,DPLCO,2299.555,True
1/1/2021 9:00:00 PM,1/1/2021 4:00:00 PM,RFC,MIDATL,DPL,DPLCO,2389.383,True
1/1/2021 10:00:00 PM,1/1/2021 5:00:00 PM,RFC,MIDATL,DPL,DPLCO,2470.655,True
1/1/2021 11:00:00 PM,1/1/2021 6:00:00 PM,RFC,MIDATL,DPL,DPLCO,2423.788,True
1/2/2021 12:00:00 AM,1/1/2021 7:00:00 PM,RFC,MIDATL,DPL,DPLCO,2343.737,True
1/2/2021 1:00:00 AM,1/1/2021 8:00:00 PM,RFC,MIDATL,DPL,DPLCO,2262.223,True
1/2/2021 2:00:00 AM,1/1/2021 9:00:00 PM,RFC,MIDATL,DPL,DPLCO,2157.654,True
1/2/2021 3:00:00 AM,1/1/2021 10:00:00 PM,RFC,MIDATL,DPL,DPLCO,2039.268,True
1/2/2021 4:00:00 AM,1/1/2021 11:00:00 PM,RFC,MIDATL,DPL,DPLCO,1921.917,True
1/2/2021 5:00:00 AM,1/2/2021 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1824.508,True
1/2/2021 6:00:00 AM,1/2/2021 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1756.118,True
1/2/2021 7:00:00 AM,1/2/2021 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1724.296,True
1/2/2021 8:00:00 AM,1/2/2021 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1732.529,True
1/2/2021 9:00:00 AM,1/2/2021 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1765.115,True
1/2/2021 10:00:00 AM,1/2/2021 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,1821.744,True
